"year","region","selected_country_of_embarkation","TOTAL_PAX"
2007,"Europe","Germany",348389
2007,"Europe","United Kingdom",692361
2007,"North East Asia","China",1627744
2007,"North East Asia","Hong Kong",1179533
2007,"North East Asia","Japan",913810
2007,"South East Asia","Indonesia",1900457
2007,"South East Asia","Malaysia",1234746
2007,"South East Asia","Philippines",662952
2007,"South East Asia","Thailand",1894742
2007,"South East Asia","Vietnam",510561
2008,"Europe","France",232511
2008,"Europe","Germany",366496
2008,"Europe","United Kingdom",737747
2008,"North East Asia","China",1545010
2008,"North East Asia","Hong Kong",1188268
2008,"North East Asia","Japan",892141
2008,"South East Asia","Indonesia",2046207
2008,"South East Asia","Malaysia",1346980
2008,"South East Asia","Philippines",742531
2008,"South East Asia","Thailand",1682716
2008,"South East Asia","Vietnam",610497
2009,"Europe","France",228191
2009,"Europe","Germany",356928
2009,"Europe","United Kingdom",688115
2009,"North East Asia","China",1445411
2009,"North East Asia","Hong Kong",1155878
2009,"North East Asia","Japan",785663
2009,"South East Asia","Indonesia",2213458
2009,"South East Asia","Malaysia",1919542
2009,"South East Asia","Philippines",805730
2009,"South East Asia","Thailand",1528815
2009,"South East Asia","Vietnam",617507
2010,"Europe","France",235953
2010,"Europe","Germany",394426
2010,"Europe","United Kingdom",653643
2010,"North East Asia","China",1679061
2010,"North East Asia","Hong Kong",1435104
2010,"North East Asia","Japan",889148
2010,"South East Asia","Indonesia",2761475
2010,"South East Asia","Malaysia",2212056
2010,"South East Asia","Philippines",966752
2010,"South East Asia","Thailand",1727449
2010,"South East Asia","Vietnam",724838
2011,"Europe","France",231442
2011,"Europe","Germany",407694
2011,"Europe","United Kingdom",691547
2011,"North East Asia","China",1854692
2011,"North East Asia","Hong Kong",1701227
2011,"North East Asia","Japan",913870
2011,"South East Asia","Indonesia",3153549
2011,"South East Asia","Malaysia",2412185
2011,"South East Asia","Philippines",1190718
2011,"South East Asia","Thailand",2038476
2011,"South East Asia","Vietnam",797218
2012,"Europe","France",239125
2012,"Europe","Germany",450527
2012,"Europe","United Kingdom",721546
2012,"North East Asia","China",2180264
2012,"North East Asia","Hong Kong",1716911
2012,"North East Asia","Japan",1049084
2012,"South East Asia","Indonesia",3400896
2012,"South East Asia","Malaysia",2485289
2012,"South East Asia","Philippines",1250677
2012,"South East Asia","Thailand",2475123
2012,"South East Asia","Vietnam",881186
2013,"Europe","France",240202
2013,"Europe","Germany",392844
2013,"Europe","United Kingdom",632661
2013,"North East Asia","China",2322121
2013,"North East Asia","Hong Kong",1715697
2013,"North East Asia","Japan",1208510
2013,"South East Asia","Indonesia",3714662
2013,"South East Asia","Malaysia",2711684
2013,"South East Asia","Philippines",1278692
2013,"South East Asia","Thailand",2698525
2013,"South East Asia","Vietnam",904960
2014,"Europe","France",215122
2014,"Europe","Germany",367084
2014,"Europe","United Kingdom",594072
2014,"North East Asia","China",2298356
2014,"North East Asia","Hong Kong",1869935
2014,"North East Asia","Japan",1286179
2014,"South East Asia","Indonesia",3759907
2014,"South East Asia","Malaysia",2728263
2014,"South East Asia","Philippines",1273026
2014,"South East Asia","Thailand",2375270
2014,"South East Asia","Vietnam",988089
2015,"Europe","France",206967
2015,"Europe","Germany",354724
2015,"Europe","United Kingdom",601749
2015,"North East Asia","China",2449138
2015,"North East Asia","Hong Kong",1842569
2015,"North East Asia","Japan",1361554
2015,"South East Asia","Indonesia",3488536
2015,"South East Asia","Malaysia",2845856
2015,"South East Asia","Philippines",1314082
2015,"South East Asia","Thailand",2693141
2015,"South East Asia","Vietnam",1060341
